,n_genes,percent_mito,n_counts
Calb2_tdTpositive_cell_1,8308,0.02099944,14030201.0
Calb2_tdTpositive_cell_2,6001,0.01954554,4803366.5
Calb2_tdTpositive_cell_3,6318,0.017764535,3073418.5
Calb2_tdTpositive_cell_4,8354,0.02211233,12192291.0
Calb2_tdTpositive_cell_5,8128,0.021368597,13477232.0
Calb2_tdTpositive_cell_6,9111,0.026480531,12853588.0
Calb2_tdTpositive_cell_7,9217,0.02189803,11893936.0
Calb2_tdTpositive_cell_8,9430,0.02483218,15260521.0
Calb2_tdTpositive_cell_9,7517,0.0502392,4957918.0
Calb2_tdTpositive_cell_11,7633,0.06152024,3417166.0
Calb2_tdTpositive_cell_12,8831,0.032568548,5418719.5
Calb2_tdTpositive_cell_13,8459,0.028770529,10449442.0
Calb2_tdTpositive_cell_15,8172,0.03336083,11768283.0
Calb2_tdTpositive_cell_16,7929,0.056506865,13373698.0
Calb2_tdTpositive_cell_17,6778,0.02577748,4560352.0
Calb2_tdTpositive_cell_18,5888,0.02362043,3703238.0
Calb2_tdTpositive_cell_19,5889,0.027956678,3698190.5
Calb2_tdTpositive_cell_20,6381,0.023326376,4313857.0
Calb2_tdTpositive_cell_21,6313,0.015284463,3693324.8
Calb2_tdTpositive_cell_22,7364,0.021031136,4461707.5
Calb2_tdTpositive_cell_23,6426,0.019646628,3377687.2
Calb2_tdTpositive_cell_24,5380,0.02252871,4158895.0
Calb2_tdTpositive_cell_25,5403,0.026721772,3297476.0
Calb2_tdTpositive_cell_26,5927,0.019245623,3587173.5
Calb2_tdTpositive_cell_27,4706,0.053503793,2973216.8
Calb2_tdTpositive_cell_28,6563,0.032590408,4538632.5
Calb2_tdTpositive_cell_29,6394,0.020376407,4162221.5
Calb2_tdTpositive_cell_30,8214,0.027973155,3817973.0
Calb2_tdTpositive_cell_31,6338,0.02047216,3761127.0
Calb2_tdTpositive_cell_32,6587,0.01123074,4346005.5
Calb2_tdTpositive_cell_33,8212,0.024140539,4048933.5
Calb2_tdTpositive_cell_34,6391,0.028054927,4586866.0
Calb2_tdTpositive_cell_35,5931,0.027065342,2808626.2
Calb2_tdTpositive_cell_36,6182,0.03628274,3967995.8
Calb2_tdTpositive_cell_37,6525,0.025616035,4521181.0
Calb2_tdTpositive_cell_38,6233,0.02668962,6155391.5
Calb2_tdTpositive_cell_39,7560,0.02415108,3971789.0
Calb2_tdTpositive_cell_40,4784,0.020084752,4756414.0
Calb2_tdTpositive_cell_41,6500,0.026605912,3674079.8
Calb2_tdTpositive_cell_42,7904,0.027208397,4479963.0
Calb2_tdTpositive_cell_43,6193,0.02389266,3776081.0
Calb2_tdTpositive_cell_44,6465,0.031565703,4868013.0
Calb2_tdTpositive_cell_45,7432,0.022885568,3817126.2
Calb2_tdTpositive_cell_46,5630,0.063435845,3086993.0
Calb2_tdTpositive_cell_47,6734,0.022314183,3865373.0
Calb2_tdTpositive_cell_48,4464,0.091784015,3457440.2
Calb2_tdTpositive_cell_49,7230,0.022582933,4101528.2
Calb2_tdTpositive_cell_50,5729,0.046366673,3320372.2
Calb2_tdTpositive_cell_51,7827,0.02880379,4393012.0
Calb2_tdTpositive_cell_52,6225,0.023031544,4463325.0
Calb2_tdTpositive_cell_53,4387,0.07542135,3915439.5
Calb2_tdTpositive_cell_54,6357,0.024494529,5221579.0
Calb2_tdTpositive_cell_55,5412,0.021007461,4564836.5
Calb2_tdTpositive_cell_56,5865,0.027886221,2934884.5
Calb2_tdTpositive_cell_57,5462,0.023024911,3232264.5
Calb2_tdTpositive_cell_58,4385,0.071071446,2780650.2
Calb2_tdTpositive_cell_59,7137,0.022707641,3713383.2
Calb2_tdTpositive_cell_60,5957,0.021164512,3378632.5
Calb2_tdTpositive_cell_61,6029,0.02609442,3180715.0
Calb2_tdTpositive_cell_62,8083,0.018229064,3476299.2
Calb2_tdTpositive_cell_63,6267,0.022982942,2840921.2
Calb2_tdTpositive_cell_64,6120,0.023374667,3086789.0
Chat_tdTpositive_cell_1,6414,0.04470924,3566012.8
Chat_tdTpositive_cell_2,6792,0.020862512,4485089.0
Chat_tdTpositive_cell_3,6632,0.043956053,4492328.0
Chat_tdTpositive_cell_4,6010,0.03159461,2803616.2
Chat_tdTpositive_cell_5,6537,0.023914881,4121815.2
Chat_tdTpositive_cell_6,6426,0.028458152,4705066.0
Chrna2_tdTpositive_cell_1,6518,0.0316998,2929868.2
Chrna2_tdTpositive_cell_2,6236,0.035565596,2943402.5
Chrna2_tdTpositive_cell_3,8438,0.03115519,3016847.2
Chrna2_tdTpositive_cell_4,8355,0.048056293,2543792.0
Chrna2_tdTpositive_cell_5,6408,0.050151944,2532443.5
Chrna2_tdTpositive_cell_6,6198,0.054890417,3208868.5
Chrna2_tdTpositive_cell_7,6568,0.033262327,3023525.0
Chrna2_tdTpositive_cell_8,6479,0.030911217,3961011.5
Chrna2_tdTpositive_cell_9,7989,0.032043535,4194004.0
Chrna2_tdTpositive_cell_10,6749,0.033305835,4045535.0
Chrna2_tdTpositive_cell_11,8061,0.054250523,4263511.0
Chrna2_tdTpositive_cell_12,7822,0.03662877,3758819.8
Chrna2_tdTpositive_cell_13,7642,0.07238762,4519921.0
Chrna2_tdTpositive_cell_14,6987,0.09061804,11280172.0
Chrna2_tdTpositive_cell_15,8622,0.053385485,5258202.0
Chrna2_tdTpositive_cell_16,6891,0.03842162,5213362.5
Chrna2_tdTpositive_cell_17,8267,0.038285896,4325464.0
Chrna2_tdTpositive_cell_18,7894,0.031255607,2848604.8
Chrna2_tdTpositive_cell_19,7802,0.024393957,7931416.5
Chrna2_tdTpositive_cell_20,6833,0.02646457,5558585.5
Chrna2_tdTpositive_cell_21,7824,0.02817252,9222044.0
Chrna2_tdTpositive_cell_22,8419,0.025297605,5958438.0
Chrna2_tdTpositive_cell_23,8145,0.018964836,4828300.0
Chrna2_tdTpositive_cell_24,7881,0.043761212,4724601.0
Chrna2_tdTpositive_cell_25,6996,0.04258453,5664511.0
Chrna2_tdTpositive_cell_26,7286,0.052529283,6300977.0
Chrna2_tdTpositive_cell_27,7725,0.024608303,3389680.5
Chrna2_tdTpositive_cell_28,7716,0.025775846,3951879.0
Chrna2_tdTpositive_cell_29,8228,0.030753493,2639394.2
Chrna2_tdTpositive_cell_30,7830,0.025338193,4515430.0
Chrna2_tdTpositive_cell_31,8257,0.031397343,2369584.0
Chrna2_tdTpositive_cell_32,5998,0.0299967,2186055.5
Chrna2_tdTpositive_cell_33,6854,0.028749673,6163739.0
Chrna2_tdTpositive_cell_34,7393,0.042263106,3676848.0
Chrna2_tdTpositive_cell_35,7196,0.027817037,4070745.2
Chrna2_tdTpositive_cell_36,7092,0.027726647,3024417.2
Chrna2_tdTpositive_cell_37,7310,0.03880435,6257290.5
Chrna2_tdTpositive_cell_38,7722,0.03014764,2484351.5
Chrna2_tdTpositive_cell_39,7057,0.038965255,3781859.5
Chrna2_tdTpositive_cell_40,8239,0.03235465,2456434.5
Chrna2_tdTpositive_cell_41,6317,0.043028444,2191884.2
Chrna2_tdTpositive_cell_42,7894,0.030273927,5219260.0
Chrna2_tdTpositive_cell_43,7292,0.061844442,6660748.0
Chrna2_tdTpositive_cell_44,7321,0.025095295,4416944.0
Chrna2_tdTpositive_cell_45,8084,0.02247748,9063360.0
Chrna2_tdTpositive_cell_46,6770,0.032282494,4446943.5
Chrna2_tdTpositive_cell_47,7085,0.045303706,2668840.2
Chrna2_tdTpositive_cell_48,7794,0.08003734,12385192.0
Chrna2_tdTpositive_cell_49,6897,0.052205015,7923105.5
Chrna2_tdTpositive_cell_50,7893,0.021861738,16909832.0
Chrna2_tdTpositive_cell_51,7606,0.04418109,7689579.0
Chrna2_tdTpositive_cell_52,7536,0.040181354,10211798.0
Chrna2_tdTpositive_cell_53,7956,0.04287395,9226675.0
Chrna2_tdTpositive_cell_54,6310,0.07253797,5935160.5
Chrna2_tdTpositive_cell_55,6460,0.06703097,3418621.2
Chrna2_tdTpositive_cell_56,6492,0.06094132,7748058.0
Chrna2_tdTpositive_cell_57,6386,0.044881918,4302105.0
Chrna2_tdTpositive_cell_58,8429,0.022613347,5251057.0
Chrna2_tdTpositive_cell_59,9125,0.025278986,7466124.5
Chrna2_tdTpositive_cell_60,8755,0.019564357,7224526.5
Chrna2_tdTpositive_cell_61,9807,0.021342559,11495656.0
Chrna2_tdTpositive_cell_62,9370,0.04882978,5392405.5
Chrna2_tdTpositive_cell_63,8361,0.023366995,4975123.0
Chrna2_tdTpositive_cell_64,7590,0.063921236,6024593.0
Chrna2_tdTpositive_cell_65,7405,0.042824313,4943928.5
Chrna2_tdTpositive_cell_66,8520,0.028093398,4965481.5
Chrna2_tdTpositive_cell_67,8246,0.03148117,6886854.0
Chrna2_tdTpositive_cell_68,7348,0.030631755,5123877.0
Chrna2_tdTpositive_cell_69,7644,0.033950485,4038351.5
Chrna2_tdTpositive_cell_70,7608,0.017556781,4791790.0
Chrna2_tdTpositive_cell_71,6423,0.036682006,3185568.5
Chrna2_tdTpositive_cell_72,7764,0.03282651,3592259.8
Chrna2_tdTpositive_cell_73,8519,0.024159929,4960876.0
Chrna2_tdTpositive_cell_74,9115,0.026916003,5398228.5
Chrna2_tdTpositive_cell_75,7733,0.027494416,3745170.0
Chrna2_tdTpositive_cell_76,7459,0.02350179,5345719.5
Chrna2_tdTpositive_cell_77,8473,0.032724287,6261286.0
Chrna2_tdTpositive_cell_78,7777,0.0312602,4736843.0
Chrna2_tdTpositive_cell_79,7811,0.020961674,5513970.0
Chrna2_tdTpositive_cell_80,8047,0.02112895,3991381.8
Chrna2_tdTpositive_cell_81,7377,0.026825594,4165337.8
Chrna2_tdTpositive_cell_82,8022,0.037060708,6154222.0
Chrna2_tdTpositive_cell_83,8440,0.030621793,4902093.0
Chrna2_tdTpositive_cell_84,6866,0.04964012,4677562.0
Ctgf_tdTpositive_cell_1,4242,0.06967713,3498496.5
Ctgf_tdTpositive_cell_2,3424,0.08361566,3486064.5
Ctgf_tdTpositive_cell_3,3384,0.07279626,4093897.0
Ctgf_tdTpositive_cell_4,3564,0.10152837,4939773.0
Ctgf_tdTpositive_cell_5,3803,0.07532595,4233877.0
Ctgf_tdTpositive_cell_6,3466,0.11345932,5040800.0
Ctgf_tdTpositive_cell_7,3573,0.07959936,4504339.0
Ctgf_tdTpositive_cell_8,4446,0.10373753,3911790.0
Ctgf_tdTpositive_cell_9,3896,0.05341397,3701182.5
Ctgf_tdTpositive_cell_10,3814,0.08303848,3855622.8
Ctgf_tdTpositive_cell_11,7411,0.03150067,2550303.5
Ctgf_tdTpositive_cell_12,8759,0.032195896,3298509.0
Ctgf_tdTpositive_cell_13,8560,0.028349482,2893136.0
Ctgf_tdTpositive_cell_14,8711,0.03279212,3623464.0
Ctgf_tdTpositive_cell_15,7695,0.028252997,3187151.5
