X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_pca31,X_pca32,X_pca33,X_pca34,X_pca35,X_pca36,X_pca37,X_pca38,X_pca39,X_pca40,X_pca41,X_pca42,X_pca43,X_pca44,X_pca45,X_pca46,X_pca47,X_pca48,X_pca49,X_pca50,X_umap1,X_umap2
-8.39179,-3.211956,6.198568,-0.63088787,0.026851987,-4.5350776,-3.3439689,-0.6325846,-1.9998881,1.2558749,-1.5612458,1.0091645,1.792946,0.014643674,-4.3222113,3.287085,-1.0742772,2.3455358,-0.64809245,1.2941897,0.22701757,-0.45337948,-1.3978349,-0.8061075,-0.22700012,-0.48434746,0.3953062,-1.4857213,-1.6786922,0.15476893,1.8288205,-0.88934374,-0.322334,-1.009127,1.8563263,-0.40646765,-0.5765182,-0.43068406,1.2723585,-0.010267289,-0.3506374,0.18920104,-0.24374788,-0.33276746,-1.5124943,2.0568247,-1.552877,-0.28096288,0.33816105,1.584966,-3.3743992,8.181379
-7.1118536,-2.750442,7.047711,-0.59557694,0.9340653,-2.784725,-1.9268008,-0.17030278,0.70776445,0.82495445,-0.6350787,1.1781088,-1.0793364,-0.0139482515,-1.396307,3.9436824,-0.46748027,1.3009697,0.7077956,-2.5256402,-2.1176615,0.75675637,2.8324318,-0.33969402,-0.67600566,0.3977228,-1.6668082,-0.57606936,-0.6299964,-0.96188927,-0.124375954,-0.81562746,1.7783693,0.5677933,-1.7880703,1.3220023,0.73683006,1.2322986,-0.5985463,-0.79998964,-1.0695736,-2.1690872,-1.323547,-0.14908336,1.1583828,0.7728497,-0.7140367,0.4543693,-0.34737408,1.629167,-2.025056,9.015405
7.4990125,-0.62009627,-1.3364053,0.3794076,0.19036846,-3.757889,1.1773618,0.74655503,-0.13863385,0.9857562,-0.9051142,-0.25807366,-0.24630548,-2.1386166,-1.1215612,-0.31505498,1.6343573,-1.5629756,-1.1785537,0.53532046,-1.2261817,0.7998591,-0.0807644,0.30637786,0.19351299,-0.047623944,-0.87244725,0.5913927,-1.0753888,-0.58706427,-1.4172417,-0.1450174,-0.96939504,-0.6435553,0.9471063,0.9367839,0.76205856,-0.13603762,0.4366367,-0.7882899,-0.8533127,-0.39921644,0.043420218,2.08355,-1.5120773,1.0762358,-0.05507128,-0.086719215,0.48617634,1.9676709,14.1345,5.2709255
-6.9050164,-3.757114,7.797637,-0.05414987,0.40004885,-2.7925057,-2.045726,-0.4786853,-0.89520675,0.8854615,-1.48416,2.0573537,-0.211275,0.7250011,0.2053208,-2.7008803,-0.5392047,-0.36578923,0.6509349,1.4574394,-2.3060446,-0.27310207,0.9433273,0.18876399,-0.38979286,-0.18938623,-0.9769565,0.2695401,3.721588,-1.5497378,2.1111484,-3.1865737,-0.44695783,-0.28123933,-1.1263028,2.1958213,0.9165562,-1.3489743,0.13016075,-0.26636916,0.32830825,-1.0684527,1.3783185,-0.47791615,-0.14592601,-0.74307954,0.08379225,0.19760914,-1.0290129,-0.06099882,-1.225193,10.991294
-7.496241,-3.1574204,7.3287582,-0.067139834,0.8964347,-2.4876058,-1.0824068,0.46560106,-1.4842706,-0.28777185,-1.0139041,-1.7645587,3.455163,-0.21128875,-3.9165063,-0.04409706,-1.0861986,-0.7092335,-0.5612103,-0.35467705,0.65715355,0.624426,-3.0033824,-0.041589316,-0.11214269,-3.3249254,-2.168138,1.4243002,-0.70074576,1.4259697,-0.2152764,1.7870541,1.4907721,2.7671285,-0.71362245,-1.0412033,-0.11414391,0.6779323,1.2529001,-1.3504469,-0.8097097,0.2551695,2.293258,-0.2520873,-0.3252825,1.617666,0.6327605,0.17238198,0.51870424,1.216697,-0.9799147,8.137673
8.351841,-1.1646906,-0.51116884,0.26398146,-0.53910977,0.30168903,-0.27729222,0.30734724,4.413657,-3.3273034,-4.37307,-0.41671923,1.2133858,-0.24860513,1.6209382,0.9437533,-2.1326606,-0.64044374,-0.7640834,1.7051282,-1.4684048,0.09786059,-0.6551268,-0.6138192,0.1805047,-0.7793898,-0.71547574,-2.344167,-0.29936844,-0.33210206,-0.5801032,0.75453043,0.9566178,-0.1332484,0.41062832,0.2399953,-0.5919597,1.0779994,0.1279214,-0.6076058,0.07078484,-0.518147,0.15970165,0.14031942,0.29401872,0.4441675,0.63285464,0.76020676,-0.64785236,0.4898063,17.295172,-0.9335708
5.9934187,-0.27503285,1.1626873,0.15417567,-0.9379283,2.68045,-0.22154321,0.5161105,3.4639103,-3.001339,-2.2536867,0.0013625143,0.3379533,-1.2333349,2.4327767,0.04157497,-1.3599021,-0.06696633,0.6607438,1.4415778,-2.4859455,1.6124325,-2.3043015,1.0956174,0.4383773,0.19718814,-1.5669522,-0.9588847,-1.4445299,0.19981773,0.035362285,-0.010138619,-0.036671538,0.6605,0.5652636,-0.8722744,-0.00034851607,0.39034593,0.58149475,0.27685267,0.6008424,-0.89031893,-0.94645065,0.96851754,-0.29301977,-1.1512731,0.5447507,-0.21525306,0.5546361,0.7663298,17.88646,-2.5275178
9.356518,-0.6465712,0.009329696,0.3200491,-0.8049775,-0.8402055,-0.30445758,0.09657104,3.191063,-2.1924129,-3.3830519,0.34659496,0.7053417,-1.1683636,0.40947938,-0.15065065,-1.3296934,0.90407336,-0.18782125,1.3408183,-0.4869008,-0.83217955,-2.0998025,-1.2440276,0.12302319,0.6599293,-0.5671132,-1.9068723,-0.14327188,0.15725385,-1.1217357,-0.3887424,0.14144263,-0.62043715,1.1962287,-0.17392673,-0.113283016,0.081644855,-0.7207111,0.029581549,-0.17444523,-0.9574181,0.2270532,0.34979028,-0.0757202,0.08378043,0.100413755,0.21427478,0.4981409,0.33237952,17.073662,-0.40454805
7.969405,0.07377509,-0.7125438,0.039670967,0.3101955,-0.77854246,-0.43370333,0.39813325,1.1091298,-1.2773076,-1.2996235,-1.2543484,1.1837374,-0.87461114,0.18931153,1.7184073,0.58196145,-0.98359996,-0.5569081,0.12470575,-0.8904402,0.17986017,-1.066715,-1.4132286,1.1957288,-0.58768356,-0.26371542,-0.8618093,-0.4804724,-1.8447193,-0.53494287,0.10809622,-1.0748633,1.0193202,-0.7326016,0.9466778,0.12942664,-0.23201181,0.68420196,-0.41824323,0.029760672,-0.13502856,-1.0301412,0.094456665,-0.30056128,-0.7677281,0.8722949,0.6341551,0.20973498,-0.1521807,16.502409,-0.10456273
-6.6754565,-3.2223103,-4.7540174,0.3825254,-0.025257276,-0.39567566,-0.28128445,0.11466604,-0.026884664,0.07134521,0.04912352,-0.63123673,1.9406492,0.13996522,-0.25006512,-0.102367885,1.5733117,-1.6751789,0.02474212,-2.3118567,0.74415886,0.08200381,-0.3242569,1.6880755,0.53807753,-1.8449215,-1.6033618,-0.45944747,1.0822625,-1.4511704,0.19637613,0.12725496,-0.077001564,-0.23422693,1.4235669,-0.57344264,0.80202216,1.1544203,-0.77714145,0.9876479,-0.59205174,-0.941603,0.6328655,-0.40060052,0.08441566,-0.31321868,0.6593822,-0.051366597,0.1865064,0.6591084,-1.8018192,-5.823185
