,n_cells,highly_variable,means,dispersions,dispersions_norm
0610007P08Rik,529,True,0.14897569025314092,0.8109229372601416,0.7854
0610030E20Rik,1792,True,0.09987303575415994,0.2175088388434657,0.5098033
0610040J01Rik,55,True,0.024519801331791498,1.626109995374694,1.1639936
1110002B05Rik,926,True,0.3340028510610552,0.7742796315070918,0.5690312
1110007C09Rik,128,True,0.014777790548907176,0.4106354197201383,0.59949625
1110008L16Rik,646,True,0.12944982344083183,0.4242852358257559,0.60583556
1110012L19Rik,695,True,0.21698663793848255,0.20567386805243898,0.50430685
1110020G09Rik,531,True,0.15754477237364567,0.9779990406278489,0.8629944
1110028C15Rik,761,True,0.12383333048693841,0.7179687839057086,0.7422297
1110031I02Rik,340,True,0.10552720483479354,0.8610642939138944,0.8086869
1110034G24Rik,638,True,0.17739522610401165,0.3995209008077475,0.59433436
1110038D17Rik,303,True,0.0728289446056566,0.5024581826752073,0.64214104
1190002H23Rik,416,True,0.09326285058241096,0.837609289167657,0.7977938
1190002N15Rik,601,True,0.1877526542665093,0.29551382095502315,0.5460308
1190007F08Rik,422,True,0.050209316898523475,0.5124277837740043,0.6467712
1200011M11Rik,309,True,0.05655083244299413,0.3964309373009172,0.5928993
1200016B10Rik,1006,True,0.21617051094628603,0.3517337788066134,0.5721408
1300001I01Rik,1159,True,0.259064604702042,0.4833688804498415,0.6332755
1300010F03Rik,731,True,0.17760257871109839,0.6732732499509726,0.72147197
1300014I06Rik,184,True,0.05298259180318773,0.47348285037745635,0.62868416
1300018I17Rik,736,True,0.14662889569513912,0.30264481013698663,0.54934263
1300018J18Rik,516,True,0.1017339169494777,0.40076786419005517,0.5949135
1500010J02Rik,642,True,0.1813495696639567,1.2773181456425327,1.0020058
1500015A07Rik,381,True,0.09159217324929163,0.38476613845259894,0.58748186
1600012H06Rik,652,True,0.21049269167840315,0.4758906855106165,0.62980247
1600021P15Rik,788,True,0.30073283435165743,0.7402203688972222,0.51854587
1700001L05Rik,161,True,0.03389124748903153,0.327327943925805,0.5608061
1700003M07Rik,1754,True,0.04623928566911947,0.6722371042484379,0.7209907
1700013N18Rik,179,True,0.036489268359500705,0.6904060474305821,0.7294288
1700017B05Rik,167,True,0.0738983204313683,2.0630216453823484,1.3669065
1700019G17Rik,121,True,0.08594287032327999,1.797407184176098,1.2435484
1700020O03Rik,602,True,0.1482406578226545,0.4830249010845848,0.63311577
1700021K19Rik,999,True,0.2004930058383753,0.25400480091627897,0.52675295
1700028K03Rik,436,True,0.05578261059939601,1.0652382991649167,0.9035105
1700029I01Rik,689,True,0.03759727814896039,0.853915346466742,0.80536675
1700029J07Rik,765,True,0.07794225801250235,0.5381387145275379,0.658712
1700030K09Rik,592,True,0.1512726417992401,0.33649590071324403,0.56506395
1700034H14Rik,749,True,0.22253793079463868,0.44737577271167184,0.6165594
1700047M11Rik,62,True,0.02458772503679873,0.35099450789440595,0.5717975
1700049G17Rik,658,True,0.1803095466011058,0.7874208085237471,0.774485
1700052N19Rik,650,True,0.24073164458299456,0.6723305941282646,0.72103417
1700066M21Rik,381,True,0.12925284066172696,1.0403161403002323,0.891936
1700084C01Rik,118,True,0.015922742586794734,0.8307930037694248,0.79462814
1700110I01Rik,786,True,0.015003500833431636,1.2641436978388219,0.9958873
1810010H24Rik,160,True,0.037584742002609924,0.41944816780896826,0.6035891
1810011H11Rik,13,True,0.016796282025822055,1.8538994872287686,1.2697849
1810011O10Rik,40,True,0.014697429199524015,0.39655945651066193,0.592959
1810014B01Rik,889,True,0.06322836401836605,0.8912150916441655,0.8226897
1810026J23Rik,608,True,0.17045370766828052,0.7375563099781861,0.7513266
1810031K17Rik,824,True,0.253147822338496,0.726106644678483,0.7460091
1810041L15Rik,947,True,0.16015302873127255,0.8400413213635466,0.7989233
2010002N04Rik,185,True,0.11104181013951138,2.125774469924317,1.3960506
2010015L04Rik,1762,True,0.2410149928887703,0.6081722487823402,0.6912374
2010106G01Rik,1746,True,0.3428619425468336,0.834202188753335,0.657853
2010109K11Rik,605,True,0.06840329353985587,0.3341484472370229,0.5639737
2010321M09Rik,856,True,0.3539204748744861,0.7993663661231672,0.60621667
2200002K05Rik,678,True,0.2391342246296032,0.3052943869548798,0.55057317
2210404J11Rik,524,True,0.16446772506714785,0.4523614064840918,0.61887485
2210408I21Rik,1005,True,0.26364060393139205,0.3617619469173615,0.57679814
2310008H04Rik,44,True,0.031220501067719154,2.4161332731277545,1.5309006
2310015A10Rik,131,True,0.025113875833768177,0.5351696258477403,0.6573331
2310042D19Rik,499,True,0.012729507878820524,0.7427280963573634,0.75372857
2310042E22Rik,167,True,0.09011771512515275,0.864116587488471,0.8101044
2310046O06Rik,1784,True,0.4409379870067467,0.8258412810872494,0.64545983
2410002I01Rik,310,True,0.039286775129918586,0.35708552827732465,0.57462627
2410042D21Rik,775,True,0.2054642780723551,0.39751584174205806,0.59340316
2410066E13Rik,473,True,0.08646708922431352,0.20840186529365798,0.5055738
2410137F16Rik,469,True,0.07495493496089878,0.27237714704350646,0.53528553
2500003M10Rik,1172,True,0.24643662510551564,0.24654125312278274,0.5232867
2510009E07Rik,865,True,0.3598411492296551,0.7963312616930187,0.60171777
2510039O18Rik,332,True,0.06250129473907712,1.2721997113428565,0.99962866
2610002I17Rik,988,True,0.22136583628932271,0.4224316242730138,0.6049747
2610008E11Rik,822,True,0.35814338558164105,1.0995511941300253,1.0511739
2610019F03Rik,207,True,0.06611695471667198,1.2654612451426217,0.9964992
2610020C07Rik,706,True,0.022368010444570638,0.7542258404894518,0.75906837
2610034M16Rik,32,True,0.016060527138169207,1.1175130857219306,0.92778826
2610035D17Rik,544,True,0.1687211196407332,0.23296176283771894,0.51698005
2610203C20Rik,996,True,0.4337900954493036,0.9503893365389674,0.83007467
2610301G19Rik,703,True,0.18102439938664716,0.5366460442184737,0.65801877
2610305D13Rik,176,True,0.02127732227944372,2.748687996851751,1.6853476
2700049A03Rik,678,True,0.2115476009374391,0.5456439062823579,0.6621976
2700050L05Rik,644,True,0.16238710200940562,0.4632980122657221,0.62395406
2700078E11Rik,1284,True,0.3275185499034602,0.9737688414832405,0.8647296
2700081O15Rik,388,True,0.056030662283516414,0.49790496328320183,0.64002645
2810002D19Rik,440,True,0.13810534001900535,0.5391471298376839,0.65918034
2810021J22Rik,1254,True,0.13823908738957663,0.6262591350278485,0.6996374
2810046L04Rik,390,True,0.07535767887075494,0.6927706690550105,0.73052704
2810055G20Rik,567,True,0.10126616578071215,0.8014022530672309,0.7809783
2810459M11Rik,166,True,0.01354787598156465,1.3206453345463642,1.0221281
2810468N07Rik,525,True,0.29373049787353295,1.5530217650131544,1.7233434
2900005J15Rik,496,True,0.02761578332668166,0.9361235390521633,0.84354633
2900052N01Rik,388,True,0.02340899700095161,1.3854464192990745,1.0522233
2900092D14Rik,1524,True,0.7924072829445068,1.1367071871067318,0.9132368
3000002C10Rik,1508,True,0.1295966303150536,0.26778756834138556,0.5331541
3110001I22Rik,170,True,0.05281708798786706,0.6766638488301017,0.7230466
3110007F17Rik,189,True,0.018510878212981023,0.29398651391022995,0.5453215
3110035E14Rik,1077,True,0.9329618186538404,1.8293840848585996,1.8443028
3110043O21Rik,1065,True,0.5269287058032216,0.8194468408209336,0.6359815
3110047P20Rik,697,True,0.24718486872357015,0.5923744924112532,0.6839005
3110052M02Rik,1315,True,0.2561634810360597,0.6957754356653446,0.7319225
